iter	Passed	Remaining
1291	73500	40277
1292	73561	40222
1293	73623	40168
1294	73684	40114
1295	73749	40061
1296	73812	40008
1297	73884	39959
1298	73945	39904
1299	74008	39850
1300	74070	39796
1301	74135	39743
1302	74200	39691
1303	74266	39639
1304	74328	39584
1305	74393	39532
1306	74455	39477
1307	74518	39423
1308	74581	39370
1309	74644	39316
1310	74714	39266
1311	74775	39211
1312	74844	39160
1313	74905	39105
1314	74967	39051
1315	75026	38995
1316	75089	38941
1317	75154	38888
1318	75218	38835
1319	75280	38781
1320	75343	38727
1321	75401	38670
1322	75459	38613
1323	75521	38559
1324	75582	38504
1325	75654	38454
1326	75726	38405
1327	75794	38354
1328	75856	38299
1329	75917	38244
1330	75976	38188
1331	76035	38132
1332	76094	38075
1333	76153	38019
1334	76212	37963
1335	76273	37908
1336	76333	37852
1337	76395	37798
1338	76455	37742
1339	76516	37687
1340	76574	37630
1341	76632	37573
1342	76696	37519
1343	76757	37464
1344	76820	37410
1345	76882	37356
1346	76942	37300
1347	77000	37243
1348	77060	37187
1349	77123	37133
1350	77184	37078
1351	77244	37022
1352	77307	36967
1353	77371	36914
1354	77430	36858
1355	77494	36804
1356	77553	36748
1357	77612	36691
1358	77673	36636
1359	77732	36579
1360	77789	36522
1361	77846	36465
1362	77904	36408
1363	77962	36352
1364	78022	36296
1365	78083	36240
1366	78141	36183
1367	78198	36126
1368	78256	36070
1369	78317	36014
1370	78375	35957
1371	78437	35902
1372	78494	35845
1373	78553	35789
1374	78612	35733
1375	78673	35677
1376	78733	35621
1377	78792	35565
1378	78852	35509
1379	78912	35453
1380	78973	35397
1381	79030	35340
1382	79090	35284
1383	79147	35227
1384	79208	35171
1385	79265	35114
1386	79325	35058
1387	79383	35002
1388	79440	34944
1389	79499	34888
1390	79556	34831
1391	79616	34775
1392	79673	34717
1393	79729	34660
1394	79783	34601
1395	79839	34543
1396	79897	34486
1397	79955	34429
1398	80012	34372
1399	80067	34314
1400	80129	34259
1401	80184	34201
1402	80243	34144
1403	80302	34088
1404	80361	34031
1405	80418	33974
1406	80474	33917
1407	80529	33859
1408	80585	33801
1409	80639	33742
1410	80696	33685
1411	80754	33628
1412	80809	33570
1413	80862	33511
1414	80918	33454
1415	80976	33396
1416	81033	33339
1417	81091	33283
1418	81150	33226
1419	81207	33169
1420	81263	33111
1421	81324	33056
1422	81380	32998
1423	81438	32941
1424	81495	32884
1425	81550	32826
1426	81605	32767
1427	81664	32711
1428	81721	32654
1429	81780	32597
1430	81835	32539
1431	81895	32483
1432	81953	32426
1433	82011	32369
1434	82069	32313
1435	82128	32256
1436	82187	32200
1437	82245	32143
1438	82308	32088
1439	82370	32033
1440	82444	31982
1441	82509	31927
1442	82569	31871
1443	82627	31815
1444	82687	31758
1445	82745	31702
1446	82805	31645
1447	82865	31589
1448	82922	31532
1449	82981	31475
1450	83040	31419
1451	83102	31363
1452	83161	31307
1453	83220	31250
1454	83278	31193
1455	83336	31136
1456	83395	31080
1457	83459	31025
1458	83519	30969
1459	83578	30912
1460	83639	30856
1461	83698	30800
1462	83758	30744
1463	83819	30687
1464	83882	30633
1465	83944	30577
1466	84007	30522
1467	84069	30466
1468	84128	30410
1469	84187	30353
1470	84243	30295
1471	84311	30242
1472	84371	30185
1473	84430	30129
1474	84488	30072
1475	84546	30015
1476	84608	29959
1477	84664	29901
1478	84724	29845
1479	84780	29787
1480	84839	29730
1481	84895	29673
1482	84953	29616
1483	85009	29558
1484	85066	29501
1485	85121	29443
1486	85180	29386
1487	85237	29329
1488	85293	29271
1489	85352	29214
1490	85408	29156
1491	85465	29099
1492	85518	29040
1493	85575	28983
1494	85631	28925
1495	85686	28867
1496	85742	28809
1497	85800	28752
1498	85863	28697
1499	85920	28640
1500	85976	28582
1501	86034	28525
1502	86089	28467
1503	86146	28410
1504	86204	28352
1505	86260	28295
1506	86317	28237
1507	86375	28180
1508	86444	28127
1509	86500	28069
1510	86558	28012
1511	86617	27955
1512	86674	27898
1513	86730	27840
1514	86785	27782
1515	86838	27724
1516	86894	27666
1517	86949	27608
1518	87002	27549
1519	87059	27492
1520	87117	27435
1521	87172	27377
1522	87229	27320
1523	87287	27262
1524	87345	27205
1525	87401	27148
1526	87455	27090
1527	87514	27033
1528	87572	26976
1529	87628	26918
1530	87682	26860
1531	87739	26803
1532	87793	26744
1533	87849	26687
1534	87907	26630
1535	87964	26572
1536	88021	26515
1537	88077	26457
1538	88140	26402
1539	88198	26345
1540	88254	26287
1541	88308	26229
1542	88366	26172
1543	88424	26115
1544	88485	26058
1545	88543	26001
1546	88600	25944
1547	88657	25887
1548	88717	25830
1549	88773	25773
1550	88829	25715
1551	88886	25658
1552	88944	25600
1553	88999	25542
1554	89055	25485
1555	89112	25427
1556	89167	25370
1557	89222	25312
1558	89277	25254
1559	89332	25196
1560	89389	25138
1561	89447	25081
1562	89503	25024
1563	89560	24967
1564	89621	24910
1565	89677	24853
1566	89738	24796
1567	89793	24739
1568	89850	24681
1569	89904	24623
1570	89958	24565
1571	90014	24507
1572	90071	24450
1573	90135	24394
1574	90193	24337
1575	90250	24280
1576	90305	24222
1577	90362	24165
1578	90421	24108
1579	90474	24050
1580	90531	23992
1581	90586	23934
1582	90642	23877
1583	90702	23820
1584	90758	23763
1585	90813	23705
1586	90878	23650
1587	90934	23592
1588	90990	23534
1589	91043	23476
1590	91097	23418
1591	91155	23361
1592	91211	23304
1593	91268	23246
1594	91325	23189
1595	91392	23134
1596	91449	23077
1597	91508	23020
1598	91566	22963
1599	91621	22905
1600	91677	22847
1601	91735	22790
1602	91792	22733
1603	91850	22676
1604	91909	22619
1605	91965	22561
1606	92024	22505
1607	92083	22448
1608	92142	22391
1609	92205	22335
1610	92259	22277
1611	92313	22219
1612	92374	22163
1613	92428	22104
1614	92482	22046
1615	92538	21989
1616	92597	21932
1617	92655	21875
1618	92711	21817
1619	92769	21760
1620	92823	21702
1621	92879	21645
1622	92934	21587
1623	92988	21529
1624	93045	21472
1625	93103	21415
1626	93158	21357
1627	93217	21300
1628	93270	21242
1629	93325	21184
1630	93380	21126
1631	93438	21069
1632	93496	21012
1633	93554	20955
1634	93613	20898
1635	93672	20841
1636	93729	20784
1637	93782	20726
1638	93841	20669
1639	93896	20611
1640	93955	20554
1641	94012	20497
1642	94072	20440
1643	94128	20383
1644	94185	20325
1645	94242	20268
1646	94298	20210
1647	94359	20154
1648	94416	20097
1649	94475	20040
1650	94534	19983
1651	94592	19926
1652	94652	19869
1653	94710	19812
1654	94774	19756
1655	94835	19700
1656	94895	19643
1657	94954	19586
1658	95013	19529
1659	95072	19472
1660	95135	19416
1661	95192	19359
1662	95250	19302
1663	95307	19244
